Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,City,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
ORD-2027045,2024-08-08,2024-08-13,Standard Class,CUST-00618,Paul Lopez,Corporate,west,Phoenix,Technology,Phones,Phones Item 60,4,0.1,530.78,206.38
ORD-2025550,2025-01-30,2025-02-02,Standard Class,CUST-00355,Lisa Garcia,Corporate,south,Miami,Office  Supplies,Labels,Labels Item 52,2,0.0,219.7,88.2
ORD-2030132,2025-10-17,2025-10-22,Standard Class,CUST-00711,Patricia Smith,Consumer,Central,Detroit,Furnitur ,Tables,Tables Item 6,8,0.0,2378.64,792.15
ORD-2028076,2023-12-20,2023-12-22,First Class,CUST-00483,Robert Moore,Home Office,WEST,San Francisco,Furnitur ,Tables,Tables Item 8,11,0.0,1159.51,354.64
ORD-2023145,2024-04-16,2024-04-19,Second Class,CUST-00066,Lisa Martin,Corporate,west,San Francisco,office supplies,Art,Art Item 47,9,0.0,197.1,34.71
ORD-2029304,2024-10-25,2024-10-27,Second Class,CUST-00515,Chris Davis,Home Office,south,Nashville,Furnitur ,Chairs,Chairs Item 4,6,0.15,498.63,7.69
ORD-2023444,2024-04-01,2024-04-06,Standard Class,CUST-00573,James Thomas,Consumer,WEST,Los Angeles,Office Supplies,Storage,Storage Item 43,10,0.0,265.0,47.86
ORD-2025662,2024-11-11,2024-11-15,Standard Class,CUST-00054,Barbara Anderson,Consumer,west,Seattle,Office Supplies,Binders,Binders Item 31,9,0.3,746.11,39.8
ORD-2026443,2024-03-09,2024-03-16,Standard Class,CUST-00600,Linda Anderson,Consumer,central,Dallas,Office  Supplies,Paper,Paper Item 35,4,0.0,464.84,133.32
ORD-2029176,2024-07-29,2024-08-02,Same Day,CUST-00789,Thomas White,Consumer,Central,Dallas,Tech,Phones,Phones Item 59,6,0.15,2664.44,342.84
ORD-2023572,2024-08-11,2024-08-18,Second Class,CUST-00504,Elizabeth Thomas,Consumer,South,Nashville,technology,Copiers,Copiers Item 75,8,0.0,1152.72,439.79
ORD-2025900,2023-12-18,2023-12-25,Standard Class,CUST-00568,John Johnson,Consumer,East,New York,Technology,Accessories,Accessories Item 68,5,0.0,6794.9,1988.34
ORD-2028521,2024-06-29,2024-07-03,Standard Class,CUST-00202,Betty Johnson,Corporate,SOUTH,Charlotte,Furnitur ,Chairs,Chairs Item 2,7,0.3,783.9,-113.98
ORD-2024305,2025-02-28,2025-03-05,Second Class,CUST-00766,Charles Johnson,Home Office,South,Nashville,office supplies,Binders,Binders Item 29,4,0.1,53.21,10.66
ORD-2024951,2025-01-26,2025-01-28,Second Class,CUST-00691,Mary Garcia,Consumer,SOUTH,Miami,Office  Supplies,Labels,Labels Item 50,7,,768.46,238.85
ORD-2032252,2024-12-29,2025-01-03,Standard Class,CUST-00182,Elizabeth Smith,Consumer,East,Newark,technology,Machines,Machines Item 64,5,0.1,1808.32,578.48
ORD-2026395,2025-02-27,2025-03-06,First Class,CUST-00319,Chris Brown,Corporate,South,Charlotte,furniture,Chairs,Chairs Item 3,10,0.0,6740.7,2190.53
ORD-2027701,2024-11-05,2024-11-07,Second Class,CUST-00381,Patricia Perez,Consumer,east,Philadelphia,TECHNOLOGY,Phones,Phones Item 59,8,0.15,3552.59,203.67
ORD-2025345,2025-02-21,2025-02-26,Standard Class,CUST-00632,Betty White,Corporate,WEST,Phoenix,technology,Machines,Machines Item 62,2,0.2,2375.57,195.18
ORD-2028130,2025-09-16,2025-09-18,Standard Class,CUST-00773,Patricia Moore,Consumer,EAST,Philadelphia,Technology,Copiers,Copiers Item 74,7,0.15,6522.87,2251.31
ORD-2031327,2024-01-10,2024-01-14,First Class,CUST-00649,William Martinez,Home Office,south,Atlanta,Office Supplies,Labels,Labels Item 50,5,0.0,548.9,184.83
ORD-2023045,2025-04-25,2025-05-02,First Class,CUST-00261,William Jackson,Consumer,South,Miami,FURNITURE,Bookcases,Bookcases Item 17,2,0.0,758.8,305.69
ORD-2025325,2024-06-06,2024-06-08,Standard Class,CUST-00766,Charles Johnson,Home Office,South,Nashville,technology,Copiers,Copiers Item 77,9,0.0,349.38,60.83
ORD-2029490,2023-10-17,2023-10-19,Standard Class,CUST-00445,Robert Jones,Consumer,Centrl,Chicago,Furnitur ,Tables,Tables Item 6,3,0.0,891.99,331.39
ORD-2026126,2025-05-25,2025-05-30,Standard Class,CUST-00496,Michael Gonzalez,Home Office,West,Seattle,Technology,Copiers,Copiers Item 73,6,0.1,1512.43,436.11
ORD-2026504,2023-09-21,2023-09-26,Standard Class,CUST-00212,Patricia White,Corporate,Centrl,Houston,FURNITURE,Chairs,Chairs Item 5,6,0.0,561.36,101.7
ORD-2031781,2024-11-27,2024-12-01,Second Class,CUST-00267,Robert Hernandez,Corporate,West,Phoenix,OfficeSupplies,Storage,Storage Item 41,1,0.0,71.6,14.61
ORD-2023018,2024-08-21,2024-08-23,Standard Class,CUST-00180,Elizabeth Hernandez,Consumer,Centrl,Houston,Office  Supplies,Storage,Storage Item 41,10,0.3,501.2,-26.11
ORD-2024476,2025-07-02,2025-07-06,Standard Class,CUST-00359,Thomas Thomas,Consumer,EAST,Boston,office supplies,Art,Art Item 47,9,0.0,197.1,72.91
ORD-2029273,2023-02-03,2023-02-05,Standard Class,CUST-00473,Susan Jackson,Home Office,WEST,San Francisco,OfficeSupplies,Art,Art Item 47,10,0.1,197.1,67.61
ORD-2029541,2023-11-10,2023-11-14,Second Class,CUST-00054,Barbara Anderson,Consumer,WEST,Los Angeles,Office  Supplies,Storage,Storage Item 42,8,0.0,360.72,118.8
ORD-2025742,2024-10-07,2024-10-10,Standard Class,CUST-00387,Barbara Rodriguez,Corporate,East,New York,Furniture,Furnishings,Furnishings Item 19,5,0.1,2768.08,503.78
ORD-2024092,2024-11-14,2024-11-17,Same Day,CUST-00356,Joseph Jackson,Consumer,SOUTH,Miami,OfficeSupplies,Storage,Storage Item 41,11,0.0,787.6,126.33
ORD-2027106,2023-03-20,2023-03-24,Standard Class,CUST-00277,Paul Hernandez,Home Office,west,Los Angeles,Tech,Copiers,Copiers Item 78,3,0.0,2106.3,852.32
ORD-2028534,2025-05-06,2025-05-08,Standard Class,CUST-00766,Charles Johnson,Home Office,SOUTH,Charlotte,OfficeSupplies,Storage,Storage Item 41,7,0.1,451.08,88.81
ORD-2029488,31/10/2024,2024-11-04,Standard Class,CUST-00656,Elizabeth White,Corporate,central,Dallas,FURNITURE,Tables,Tables Item 9,8,0.0,5446.56,2222.27
ORD-2024231,2023-12-27,2023-12-31,Same Day,CUST-00400,Betty Miller,Corporate,West,San Francisco,technology,Machines,Machines Item 63,9,0.15,7852.95,1767.85
ORD-2024542,2025-02-19,2025-02-22,Standard Class,CUST-00686,Barbara Davis,Corporate,South,Nashville,Technology,Copiers,Copiers Item 77,5,0.1,174.69,52.75
ORD-2023166,2025-09-06,2025-09-08,Standard Class,CUST-00003,Elizabeth Martin,Corporate,central,Houston,technology,Accessories,Accessories Item 70,3,0.0,3854.49,1059.55
ORD-2027952,2025-09-27,2025-10-01,Standard Class,CUST-00074,Chris Anderson,Consumer,east,Philadelphia,office supplies,Binders,Binders Item 32,8,0.2,166.85,-7.58
ORD-2027687,2025-11-28,2025-11-30,Second Class,CUST-00218,David Wilson,Consumer,EAST,Philadelphia,office supplies,Binders,Binders Item 30,11,0.15,1101.34,244.02
ORD-2027652,2025-05-08,2025-05-13,Standard Class,CUST-00337,Michael Jackson,Consumer,South,Atlanta,office supplies,Binders,Binders Item 26,8,0.15,14.42,1.74
ORD-2028396,2025-01-05,2025-01-07,Second Class,CUST-00348,Lisa Jackson,Consumer,south,Charlotte,office supplies,Binders,Binders Item 31,6,0.15,603.99,179.33
ORD-2024272,2024-10-20,2024-10-22,Standard Class,CUST-00212,Patricia White,Corporate,central,Dallas,furniture,Tables,Tables Item 8,11,0.3,811.66,-22.0
ORD-2031538,2024-12-02,2024-12-07,Standard Class,CUST-00542,Chris Garcia,Corporate,EAST,Philadelphia,TECHNOLOGY,Machines,Machines Item 61,9,0.0,2824.2,693.39
ORD-2024691,2023-10-11,2023-10-15,Standard Class,CUST-00737,Daniel Lopez,Consumer,Centrl,Dallas,office supplies,Binders,Binders Item 27,2,0.0,133.72,37.48
ORD-2029546,2024-06-15,2024-06-20,Second Class,CUST-00268,Nancy Garcia,Home Office,west,Los Angeles,Tech,Phones,Phones Item 60,11,0.15,1378.56,130.28
ORD-2031367,2023-06-30,2023-07-03,Standard Class,CUST-00305,Thomas Martin,Consumer,Central,Detroit,technology,Copiers,Copiers Item 75,11,0.3,1109.49,45.18
ORD-2031006,2025-11-28,2025-11-30,Second Class,CUST-00711,Patricia Smith,Consumer,Central,Dallas,Office  Supplies,Paper,Paper Item 35,10,0.15,987.78,189.48
ORD-2028523,2024-09-06,2024-09-08,Standard Class,CUST-00203,Robert White,Home Office,West,Los Angeles,Furniture,Tables,Tables Item 10,6,0.0,4455.06,822.33
ORD-2026716,2023-12-09,2023-12-16,Same Day,CUST-00647,Jennifer Davis,Consumer,WEST,Los Angeles,Furnitur ,Tables,Tables Item 12,7,0.0,4441.01,1138.72
ORD-2024734,2023-08-24,2023-08-26,First Class,CUST-00003,Elizabeth Martin,Corporate,Centrl,Chicago,furniture,Chairs,Chairs Item 2,2,0.1,287.96,71.55
ORD-2026433,2024-01-09,2024-01-12,Same Day,CUST-00471,Joseph Davis,Corporate,Centrl,Houston,OfficeSupplies,Storage,Storage Item 43,9,0.0,238.5,48.91
ORD-2024168,2024-08-02,2024-08-04,Standard Class,CUST-00373,Karen Wilson,Corporate,west,Los Angeles,Tech,Machines,Machines Item 61,3,0.15,800.19,57.08
ORD-2030591,2024-10-04,2024-10-08,Second Class,CUST-00246,Patricia Wilson,Home Office,East,Boston,Office Supplies,Storage,Storage Item 43,1,0.1,23.85,4.45
ORD-2025367,2023-11-12,2023-11-17,Second Class,CUST-00138,Paul Anderson,Consumer,EAST,New York,furniture,Furnishings,Furnishings Item 22,11,0.1,1624.0,206.17
ORD-2026256,2025-03-15,2025-03-19,Second Class,CUST-00651,Patricia Garcia,Corporate,West,Phoenix,technology,Machines,Machines Item 61,10,0.1,2824.2,301.23
ORD-2031120,2024-02-22,2024-02-24,Standard Class,CUST-00155,Charles Lee,Consumer,WEST,San Francisco,FURNITURE,Tables,Tables Item 13,4,0.0,1148.76,303.8
ORD-2028975,05/08/2024,2024-08-10,Standard Class,CUST-00681,Robert Gonzalez,Consumer,central,Chicago,Office  Supplies,Binders,Binders Item 27,7,0.0,468.02,118.55
ORD-2024891,2024-02-17,2024-02-20,First Class,CUST-00514,Richard Perez,Home Office,south,Atlanta,FURNITURE,Tables,Tables Item 8,-2,0.0,210.82,78.7
ORD-2024157,2023-08-26,2023-08-31,Standard Class,CUST-00710,Thomas Perez,Consumer,West,Los Angeles,OfficeSupplies,Labels,Labels Item 49,6,0.1,108.65,35.31
ORD-2031712,2025-08-18,2025-08-23,Second Class,CUST-00508,Jessica Martinez,Consumer,East,Philadelphia,TECHNOLOGY,Machines,Machines Item 61,5,0.0,1569.0,588.52
ORD-2028066,2024-06-13,2024-06-20,Second Class,CUST-00213,Thomas Lee,Home Office,South,,Technology,Machines,Machines Item 65,3,,4493.16,1592.96
ORD-2024112,2024-12-09,2024-12-14,First Class,CUST-00363,Barbara Perez,Consumer,EAST,Boston,Office Supplies,Binders,Binders Item 25,3,0.1,92.88,32.62
ORD-2025578,2024-06-17,2024-06-19,Standard Class,CUST-00499, Barbara White  ,Consumer,south,Atlanta,office supplies,Art,Art Item 48,11,0.0,443.08,178.0
ORD-2031354,2025-09-13,2025-09-16,Same Day,CUST-00699,Sarah Johnson,Home Office,east,New York,OfficeSupplies,Storage,Storage Item 39,7,0.0,599.55,176.65
ORD-2028763,2025-11-08,2025-11-11,Same Day,CUST-00179,Daniel Thomas,Home Office,South,Charlotte,office supplies,Art,Art Item 45,4,0.0,48.52,11.46
ORD-2024912,2025-08-24,2025-08-26,Standard Class,CUST-00196,Paul Brown,Consumer,East,Philadelphia,furniture,Furnishings,Furnishings Item 21,6,0.2,1569.07,299.08
ORD-2024744,2023-12-05,2023-12-10,Standard Class,CUST-00775,Betty Jones,Consumer,SOUTH,Nashville,Furniture,Tables,Tables Item 13,9,0.15,2197.0,694.37
ORD-2030550,2025-01-26,2025-01-29,Standard Class,CUST-00054,Barbara Anderson,Consumer,West,Seattle,OfficeSupplies,Storage,Storage Item 42,10,0.0,450.9,128.38
ORD-2027183,2024-11-29,2024-12-04,First Class,CUST-00108,John Taylor,Corporate,central,Detroit,Furnitur ,Bookcases,Bookcases Item 14,7,0.1,2669.44,845.14
ORD-2031604,2025-04-20,2025-04-22,Same Day,CUST-00489,Susan Wilson,Consumer,South,Atlanta,Furniture,Furnishings,Furnishings Item 22,8,0.0,1312.32,435.75
ORD-2029429,2024-04-12,2024-04-14,First Class,CUST-00185,Richard White,Home Office,West,Seattle,Technology,Machines,Machines Item 67,10,0.15,9131.3,1166.65
ORD-2031259,2025-01-15,2025-01-17,Standard Class,CUST-00527,Barbara Rodriguez,Consumer,South,Nashville,Office Supplies,Binders,Binders Item 30,7,0.0,824.53,126.28
ORD-2027461,2024-12-16,2024-12-18,Standard Class,CUST-00599,William Wilson,Home Office,central,Dallas,Tech,Accessories,Accessories Item 70,8,0.0,10278.64,1771.63
ORD-2025756,2025-02-20,2025-02-24,Standard Class,CUST-00430,Joseph Martinez,Consumer,central,Chicago,Furniture,Bookcases,Bookcases Item 17,7,0.0,2655.8,678.69
ORD-2028500,2024-11-03,2024-11-10,Standard Class,CUST-00149,Patricia Hernandez,Corporate,SOUTH,Charlotte,Tech,Accessories,Accessories Item 69,3,0.0,4136.61,1500.29
ORD-2028428,09/08/2024,2024-08-16,Standard Class,CUST-00432,Karen Lee,Corporate,Central,Houston,OfficeSupplies,Labels,Labels Item 49,1,0.0,20.12,3.23
ORD-2031808,2025-05-17,2025-05-21,Standard Class,CUST-00146,Charles Anderson,Consumer,South,Miami,Office  Supplies,Labels,Labels Item 50,4,0.2,351.3,88.02
ORD-2028525,2024-03-12,2024-03-17,Standard Class,CUST-00301,Chris Taylor,Consumer,WEST,Seattle,Office  Supplies,Labels,Labels Item 51,4,0.2,65.7,5.94
ORD-2024876,2024-11-07,2024-11-12,Standard Class,CUST-00611,Betty Garcia,Corporate,South,Miami,office supplies,Binders,Binders Item 32,11,0.2,229.42,30.04
ORD-2024794,27/06/2025,2025-07-01,Same Day,CUST-00272,Karen Jones,Corporate,east,Boston,Tech,Copiers,Copiers Item 73,10,0.1,2520.72,574.8
ORD-2031442,2024-07-31,2024-08-04,Standard Class,CUST-00103,Karen Jackson,Home Office,SOUTH,Atlanta,TECHNOLOGY,Machines,Machines Item 61,1,0.0,313.8,69.39
ORD-2029171,2024-05-13,2024-05-15,Second Class,CUST-00311,Elizabeth Brown,Home Office,Central,Dallas,Furniture,Furnishings,Furnishings Item 18,3,0.0,988.5,380.44
ORD-2025166,2024-07-28,2024-08-01,Standard Class,CUST-00045,Susan Rodriguez,Consumer,East,Boston,Office Supplies,Binders,Binders Item 32,10,0.0,260.7,66.38
ORD-2030105,2024-11-10,2024-11-14,Standard Class,CUST-00742,Joseph Hernandez,Corporate,SOUTH,Charlotte,FURNITURE,Furnishings,Furnishings Item 24,8,0.0,3556.0,571.47
ORD-2025604,28/06/2025,2025-07-05,First Class,CUST-00508,Jessica Martinez,Consumer,east,Boston,Technology,Phones,Phones Item 53,10,0.0,10781.6,3715.61
ORD-2026980,2025-02-27,2025-03-01,Same Day,CUST-00793,Daniel Rodriguez,Home Office,Centrl,Dallas,Furniture,Furnishings,Furnishings Item 23,6,0.0,5050.8,1574.85
ORD-2028567,2023-12-22,2023-12-27,Standard Class,CUST-00609,Mary Martinez,Corporate,SOUTH,Nashville,Tech,Machines,Machines Item 63,9,0.0,9238.77,3605.75
ORD-2027554,2025-06-09,2025-06-14,Standard Class,CUST-00505, Sarah Lopez  ,Home Office,west,Phoenix,OfficeSupplies,Paper,Paper Item 35,10,0.0,1162.1,211.61
ORD-2023130,06/07/2023,2023-07-08,Second Class,CUST-00793,Daniel Rodriguez,Home Office,Centrl,Dallas,Office  Supplies,Art,Art Item 46,6,0.0,710.52,228.6
ORD-2028668,2025-06-10,2025-06-15,First Class,CUST-00036,Lisa Williams,Consumer,East,Newark,furniture,Tables,Tables Item 12,5,0.0,3172.15,701.42
ORD-2025447,2025-09-04,2025-09-11,Standard Class,CUST-00116,Paul Taylor,Consumer,central,Chicago,Furniture,Tables,Tables Item 7,2,0.15,1420.49,49.81
ORD-2027033,2024-11-14,2024-11-21,Same Day,CUST-00436,Robert Martinez,Corporate,east,New York,FURNITURE,Tables,Tables Item 11,3,0.2,1053.65,259.36
ORD-2029712,2025-03-03,2025-03-08,Second Class,CUST-00262,Patricia Gonzalez,Home Office,EAST,New York,OfficeSupplies,Binders,Binders Item 27,10,0.0,668.6,205.69
ORD-2023791,2024-01-29,2024-02-05,Standard Class,CUST-00508,Jessica Martinez,Consumer,EAST,Philadelphia,Furniture,Furnishings,Furnishings Item 21,7,0.0,2288.23,568.6
ORD-2027280,2025-06-27,2025-07-04,Standard Class,CUST-00044,Michael Johnson,Consumer,WEST,Seattle,office supplies,Labels,Labels Item 49,11,0.1,199.19,26.6
ORD-2024175,2025-11-27,2025-12-04,Second Class,CUST-00153,Mary Miller,Consumer,South,Charlotte,Furniture,Chairs,Chairs Item 5,10,0.1,842.04,192.25
ORD-2031511,2023-06-04,2023-06-06,Same Day,CUST-00693,Betty Wilson,Consumer,South,Miami,Technology,Machines,Machines Item 67,11,0.2,9453.58,2399.35
ORD-2026932,2024-04-22,2024-04-26,Standard Class,CUST-00203,Robert White,Home Office,west,Los Angeles,Technology,Phones,Phones Item 56,4,0.0,1027.52,197.81
ORD-2027955,2025-08-28,2025-09-04,Same Day,CUST-00276,James Gonzalez,Consumer,west,San Francisco,OfficeSupplies,Storage,Storage Item 40,2,0.2,33.6,1.05
ORD-2028354,2025-02-04,2025-02-11,Standard Class,CUST-00052,Karen Williams,Home Office,east,New York,OfficeSupplies,Paper,Paper Item 33,4,0.0,189.24,77.55
ORD-2023342,2024-03-28,2024-04-02,Standard Class,CUST-00742,Joseph Hernandez,Corporate,South,Atlanta,OfficeSupplies,Labels,Labels Item 49,2,0.4,24.14,-4.12
ORD-2032214,2024-08-28,2024-09-02,Same Day,CUST-00045,Susan Rodriguez,Consumer,east,Philadelphia,Office  Supplies,Labels,Labels Item 52,8,0.1,790.92,51.04
ORD-2024039,2025-08-26,2025-08-30,Standard Class,CUST-00376,Charles Garcia,Home Office,East,Philadelphia,TECHNOLOGY,Phones,Phones Item 56,11,0.0,2825.68,861.28
ORD-2029302,2025-07-26,2025-07-28,Second Class,CUST-00675,Lisa Perez,Home Office,central,Chicago,Furniture,Chairs,Chairs Item 5,6,0.5,280.68,-89.71
ORD-2031261,2023-12-27,2023-12-31,Standard Class,CUST-00793,Daniel Rodriguez,Home Office,Centrl,Houston,Office Supplies,Binders,Binders Item 32,11,0.0,286.77,113.92
ORD-2025822,2023-10-27,2023-11-03,Same Day,CUST-00528,Nancy Lee,Home Office,east,Newark,furniture,Chairs,Chairs Item 1,7,0.15,2818.34,302.23
ORD-2030478,2024-05-05,2024-05-09,Standard Class,CUST-00491,Nancy Jackson,Consumer,south,Nashville,Furnitur ,Bookcases,Bookcases Item 14,2,0.0,847.44,222.56
ORD-2025649,2024-12-31,2025-01-04,Standard Class,CUST-00715,Sarah Brown,Home Office,SOUTH,Miami,Furnitur ,Tables,Tables Item 8,9,0.1,853.82,48.11
ORD-2024846,2025-05-26,2025-06-02,Same Day,CUST-00089,Linda Hernandez,Corporate,South,Charlotte,furniture,Bookcases,Bookcases Item 15,3,0.0,707.76,113.11
ORD-2028320,2025-09-07,2025-09-14,Standard Class,CUST-00143,Susan Lopez,Corporate,West,San Francisco,technology,Machines,Machines Item 61,6,0.15,1600.38,1.26
ORD-2024896,2024-01-22,2024-01-29,Standard Class,CUST-00300,Barbara Thomas,Consumer,east,Newark,Furnitur ,Chairs,Chairs Item 5,6,0.4,336.82,-64.43
ORD-2029873,2025-06-09,2025-06-11,Standard Class,CUST-00208,Jennifer Williams,Consumer,south,Charlotte,Tech,Accessories,Accessories Item 71,8,0.5,2429.24,-744.63
ORD-2032713,2025-02-23,2025-02-27,First Class,CUST-00125,Paul Davis,Consumer,south,Nashville,technology,Machines,Machines Item 67,1,0.15,913.13,48.55
ORD-2023797,2024-10-24,2024-10-31,First Class,CUST-00037,David Jones,Consumer,South,Nashville,office supplies,Binders,Binders Item 31,3,0.0,355.29,155.33
ORD-2029350,2025-07-03,2025-07-05,Standard Class,CUST-00513,Jessica White,Home Office,SOUTH,Atlanta,OfficeSupplies,Art,Art Item 48,8,0.0,322.24,119.11
ORD-2027120,2024-12-05,2024-12-12,Standard Class,CUST-00486,Betty Garcia,Consumer,EAST,New York,Office Supplies,Binders,Binders Item 31,4,0.0,473.72,151.98
ORD-2029134,20/07/2025,2025-07-25,Standard Class,CUST-00722,Joseph Davis,Consumer,South,Miami,Furnitur ,Tables,Tables Item 10,5,0.0,3712.55,1016.99
ORD-2023938,2025-04-15,2025-04-17,First Class,CUST-00410,Betty Hernandez,Home Office,East,New York,Technology,Machines,Machines Item 67,2,0.0,2148.54,366.02
ORD-2030607,2024-05-15,2024-05-18,Standard Class,CUST-00657,Chris Garcia,Home Office,South,Miami,furniture,Tables,Tables Item 12,8,0.0,5075.44,2002.5
ORD-2026727,2025-01-24,2025-01-31,Standard Class,CUST-00396,James Taylor,Consumer,SOUTH,Miami,Office Supplies,Binders,Binders Item 32,8,0.15,177.28,35.82
ORD-2029159,23/08/2025,2025-08-26,Same Day,CUST-00412,Chris Jackson,Consumer,East,Newark,Furniture,Furnishings,Furnishings Item 21,1,0.0,326.89,122.2
ORD-2029652,2025-05-02,2025-05-06,Standard Class,CUST-00600,Linda Anderson,Consumer,central,Chicago,Tech,Copiers,Copiers Item 74,1,0.0,1096.28,445.22
ORD-2024704,2025-07-06,2025-07-08,Standard Class,CUST-00061,Barbara Johnson,Corporate,SOUTH,Atlanta,Tech,Phones,Phones Item 55,11,0.2,3119.34,377.53
ORD-2031074,2025-06-06,2025-06-11,Same Day,CUST-00532,Daniel Johnson,Consumer,East,Newark,office supplies,Storage,Storage Item 37,5,0.0,407.35,137.49
ORD-2026135,2025-07-13,2025-07-20,Standard Class,CUST-00794,William Johnson,Home Office,SOUTH,Charlotte,TECHNOLOGY,Copiers,Copiers Item 74,5,0.0,5481.4,2144.02
ORD-2027507,2024-07-04,2024-07-07,Standard Class,CUST-00048,David Jones,Corporate,South,Atlanta,furniture,Furnishings,Furnishings Item 22,9,0.3,1033.45,23.28
ORD-2024615,2023-10-17,2023-10-24,Same Day,CUST-00698,Lisa Miller,Corporate,Centrl,Dallas,Technology,Phones,Phones Item 60,6,0.0,884.64,214.34
ORD-2028302,2024-11-28,2024-12-05,First Class,CUST-00548,Paul Gonzalez,Home Office,central,Houston,Office  Supplies,Binders,Binders Item 27,5,0.0,334.3,84.61
ORD-2029775,2024-07-13,2024-07-16,Standard Class,CUST-00145,Thomas White,Consumer,South,Miami,TECHNOLOGY,Accessories,Accessories Item 70,9,0.0,11563.47,4070.15
ORD-2032436,2024-09-10,2024-09-12,Standard Class,CUST-00533,Elizabeth Moore,Consumer,east,Boston,furniture,Tables,Tables Item 12,10,0.1,5709.87,1280.82
ORD-2024915,2024-11-10,2024-11-14,Standard Class,CUST-00196,Paul Brown,Consumer,East,Philadelphia,Furnitur ,Furnishings,Furnishings Item 20,6,0.0,2667.78,700.82
ORD-2030247,2025-06-22,2025-06-26,Second Class,CUST-00715,Sarah Brown,Home Office,South,Miami,Office  Supplies,Art,Art Item 47,11,0.15,204.76,65.87
ORD-2026163,2025-03-16,2025-03-23,Standard Class,CUST-00153,Mary Miller,Consumer,South,Charlotte,office supplies,Binders,Binders Item 27,3,0.0,200.58,53.64
